,Y,X,Beta,p-value
34168,6976 JT,9531 JT,0.006344798677658298,0.8987951896439307
34169,6976 JT,9532 JT,0.00030745898633897055,0.9955220976552195
34170,6976 JT,9602 JT,0.021943719008524105,0.6494085993268439
34171,6976 JT,9613 JT,-0.08566837544219162,0.051213965676906774
34172,6976 JT,9681 JT,-0.03321847911893505,0.33550615099339265
34173,6976 JT,9735 JT,-0.03789318026613959,0.48201676707187924
34174,6976 JT,9766 JT,-0.03212444102214858,0.39562639063570204
34175,6976 JT,9983 JT,-0.02200154750561141,0.5158966388855284
34176,6976 JT,9984 JT,-0.05032520157758506,0.160785527614551
34177,6988 JT,1332 JT,-0.00932247682842555,0.7390493876668235
34178,6988 JT,1333 JT,0.019692084489897795,0.6801981164589975
34179,6988 JT,1334 JT,-0.06362206153439846,0.36656820089246633
34180,6988 JT,1605 JT,-0.0016430030924503732,0.958527789757227
34181,6988 JT,1721 JT,-0.010268513990280037,0.7808790809440703
34182,6988 JT,1801 JT,-0.039689373255818595,0.2610613880728812
34183,6988 JT,1802 JT,-0.02759142744435692,0.433894049937819
34184,6988 JT,1803 JT,-0.042966087683815865,0.22733204243792046
34185,6988 JT,1808 JT,-0.016156797915513235,0.7095094526321328
34186,6988 JT,1812 JT,0.0060744061881390955,0.8586019325788254
34187,6988 JT,1925 JT,-0.023594984961616997,0.502075880132156
34188,6988 JT,1928 JT,-0.003638943184165177,0.923175256764343
34189,6988 JT,1963 JT,0.034940238167627195,0.26051021325900753
34190,6988 JT,2002 JT,0.004193503712620266,0.9178721901096698
34191,6988 JT,2269 JT,0.038164899314954065,0.27718746105476666
34192,6988 JT,2282 JT,0.03799189813625914,0.3027781935227318
34193,6988 JT,2432 JT,0.023517941393326334,0.5270969924670994
34194,6988 JT,2501 JT,0.0012775055941216457,0.9711959233681136
34195,6988 JT,2502 JT,0.020259107854212817,0.6167856567246423
34196,6988 JT,2503 JT,0.00036250778168192105,0.9926587379563059
34197,6988 JT,2531 JT,0.029249009655971082,0.32759414078822147
34198,6988 JT,2768 JT,0.056280400303686716,0.09379973282997472
34199,6988 JT,2801 JT,0.001162099137298438,0.9731328678765188
34200,6988 JT,2802 JT,0.04564240401882734,0.23393953866520478
34201,6988 JT,2871 JT,-0.0011854178738155104,0.9725274093072405
34202,6988 JT,2914 JT,0.01677701538837889,0.6602213441311765
34203,6988 JT,3086 JT,0.017732322938839307,0.5535971999188996
34204,6988 JT,3099 JT,0.0021061424541094003,0.9449757432537903
34205,6988 JT,3101 JT,0.043105744648840025,0.17132378239157353
34206,6988 JT,3103 JT,0.015830146627416376,0.5473860958360431
34207,6988 JT,3105 JT,0.017355235005568265,0.568667645190699
34208,6988 JT,3110 JT,0.03915704643516124,0.263841116415297
34209,6988 JT,3289 JT,0.016795508598923557,0.6319095769442968
34210,6988 JT,3382 JT,0.014918911150546181,0.700563386019953
34211,6988 JT,3401 JT,-0.013960550596341364,0.683853742685026
34212,6988 JT,3402 JT,0.044445305414836406,0.27858961343228555
34213,6988 JT,3405 JT,0.00275396543341679,0.9427030142804931
34214,6988 JT,3407 JT,-0.0033728640349948574,0.9247684323876251
34215,6988 JT,3436 JT,0.03313293870423087,0.11609366563977529
34216,6988 JT,3861 JT,-0.009532520704291423,0.7793701842638303
